num_barrio	nombre_barrio	latitud_min	latitud_max	longitud_min	longitud_max
37	Nuevos Ministerios-Ríos Rosas	40.439138	40.44616	-3.702743	-3.692829
30	Prosperidad	40.440477	40.447891	-3.673862	-3.664249
28	El Viso	40.438098	40.45113	-3.689899	-3.68001
27	Ciudad Jardín	40.44579	40.451481	-3.677564	-3.670696
46	San Juan Bautista	40.447795	40.454281	-3.660877	-3.651933
60	Palomas	40.450086	40.454429	-3.622977	-3.610446
111	Bellas Vistas	40.449724	40.455651	-3.70978	-3.704609
113	Cuatro Caminos	40.446968	40.456193	-3.702195	-3.692561
31	Bernabéu-Hispanoamérica	40.452696	40.458201	-3.686477	-3.668751
8	Alameda de Osuna	40.451804	40.459492	-3.599855	-3.585309
72	Aravaca	40.445522	40.460217	-3.787834	-3.765518
44	Colina	40.455265	40.460522	-3.663269	-3.657947
58	Canillas	40.460765	40.460765	-3.633025	-3.633025
59	Conde Orgaz-Piovera	40.450555	40.46169	-3.642252	-3.626574
112	Berruguete	40.457109	40.461958	-3.70856	-3.701329
114	Cuzco-Castillejos	40.456841	40.463861	-3.698077	-3.689966
43	Atalaya	40.462381	40.466985	-3.666059	-3.663312
29	Nueva España	40.458478	40.467786	-3.670762	-3.676957
9	Campo de las Naciones-Corralejos	40.458548	40.468504	-3.617377	-3.593356
77	Valdezarza	40.46208	40.468806	-3.719159	-3.713708
75	Ciudad Universitaria	40.444491	40.469191	-3.751044	-3.726173
115	Valdeacederas	40.464345	40.469667	-3.709216	-3.69956
76	El Plantío	40.466337	40.471496	-3.83379	-3.80847
78	Valdemarín	40.464598	40.472433	-3.789254	-3.76711
10	Casco Histórico de Barajas	40.471446	40.476742	-3.581365	-3.576635
61	Pinar del Rey	40.468533	40.477509	-3.655806	-3.639295
57	Apóstol Santiago	40.472064	40.47967	-3.663358	-3.655676
11	Timón	40.469309	40.482171	-3.599475	-3.583597
26	Castilla	40.467489	40.482309	-3.686215	-3.674799
54	Pilar	40.471594	40.482399	-3.714366	-3.705439
45	Costillares	40.472003	40.483232	-3.671772	-3.665807
50	La Paz	40.475084	40.483897	-3.702192	-3.688802
49	Fuentelarreina	40.475327	40.48522	-3.746806	-3.737502
53	Peñagrande	40.473434	40.485349	-3.735116	-3.71855
64	Virgen del Cortijo - Manoteras	40.484953	40.490581	-3.671826	-3.659841
48	Arroyo del Fresno	40.487369	40.496516	-3.730546	-3.720984
62	Sanchinarro	40.485254	40.500176	-3.662147	-3.648807
63	Valdebebas - Valdefuentes	40.482815	40.500188	-3.623655	-3.603828
56	Mirasierra	40.487405	40.502963	-3.731097	-3.703819
55	Tres Olivos - Valverde	40.489893	40.511235	-3.694606	-3.669543
52	Montecarmelo	40.504107	40.511384	-3.704889	-3.692272
51	Las Tablas	40.495979	40.512542	-3.676771	-3.667815
47	El Pardo	40.51425	40.525164	-3.777227	-3.774744
4	Legazpi	40.385647	40.392315	-3.692867	-3.680765
1	Chopera	40.393395	40.398043	-3.701881	-3.697202
116	Ventilla-Almenara	40.28045	40.474012	-3.698061	-3.688738
