num_barrio;nombre_barrio;longitud_min;longitud_max;latitud_min;latitud_max;;;
44;Colina;40,455265;40,460522;-3,663269;-3,657947;;;
57;Apóstol Santiago;40,472064;40,479670;-3,663358;-3,655676;;;
86;Palomeras Bajas;40,378437;40,391121;-3,662783;-3,653857;;;
90;Numancia;40,396207;40,404043;-3,664877;-3,653660;;;
83;Media Legua;40,408232;40,416172;-3,660393;-3,653269;;;
46;San Juan Bautista;40,447795;40,454281;-3,660877;-3,651933;;;
41;San Pascual;40,439757;40,445865;-3,658121;-3,648937;;;
62;Sanchinarro;40,485254;40,500176;-3,662147;-3,648807;;;
42;Ventas;40,420229;40,431728;-3,658215;-3,648301;;;
88;Portazgo;40,384967;40,394348;-3,652753;-3,645157;;;
40;Quintana;40,434294;40,438443;-3,648717;-3,642580;;;
38;Concepción;40,439462;40,444361;-3,649230;-3,642578;;;
84;Vinateros;40,403831;40,407229;-3,647096;-3,639693;;;
61;Pinar del Rey;40,468533;40,477509;-3,655806;-3,639295;;;
81;Fontarrón;40,398337;40,401932;-3,646508;-3,638869;;;
39;Pueblo Nuevo;40,425463;40,432914;-3,643091;-3,634451;;;
58;Canillas;40,460765;40,460765;-3,633025;-3,633025;;;
82;Marroquina;40,409068;40,414557;-3,651442;-3,631787;;;
59;Conde Orgaz-Piovera;40,450555;40,461690;-3,642252;-3,626574;;;
79;Pavones;40,395211;40,403611;-3,634686;-3,626446;;;
87;Palomeras sureste;40,381041;40,391044;-3,645537;-3,625324;;;
80;Horcajo;40,403996;40,411577;-3,631278;-3,624176;;;
127;Valdebernardo - Valderribas;40,393638;40,401169;-3,627675;-3,614491;;;
60;Palomas;40,450086;40,454429;-3,622977;-3,610446;;;
63;Valdebebas - Valdefuentes;40,482815;40,500188;-3,623655;-3,603828;;;
130;Santa Eugenia;40,379729;40,385875;-3,615761;-3,602114;;;
124;Ambroz;40,406070;40,411167;-3,619687;-3,598702;;;
9;Campo de las Naciones-Corralejos;40,458548;40,468504;-3,617377;-3,593356;;;
129;Ensanche de Vallecas - La Gavia;40,362039;40,371018;-3,612977;-3,591202;;;
125;Casco Histórico de Vicálvaro;40,392237;40,403986;-3,623325;-3,587301;;;
128;Casco Histórico de Vallecas;40,333045;40,367451;-3,656554;-3,586001;;;
8;Alameda de Osuna;40,451804;40,459492;-3,599855;-3,585309;;;
11;Timón;40,469309;40,482171;-3,599475;-3,583597;;;
10;Casco Histórico de Barajas;40,471446;40,476742;-3,581365;-3,576635;;;
126;El Cañaveral - Los Berrocales;40,395790;40,409711;-3,561058;-3,544063;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
