input.nombre_barrio,input.va_Densidad (hab./Ha.) ,input.va_Tasa bruta de natalidad,input.va_Renta neta media anual de los hogares,input.va_Valor catastral medio de los bienes inmuebles,input.va_Superficie media de la vivienda (m2) en transacción
Arcos,183.41,7.3813118604261,28111.3514107266,73483.65,72.47
Rosas,33.95,5.73983636709583,43369.4685542836,80925.23,95.68
Rejas,32.53,13.8984107198504,38202.7270639004,59944.22,86.83
Canillejas,178.5,7.34080292227179,31306.0089447945,62705.28,78.67
Salvador,60.03,5.91246028944582,54441.1045863053,119894.91,115.51
Alameda de Osuna,98.69,8.0861145447054,52281.1907390498,88289.33,99.82
Aeropuerto,0.61,8.94354387926216,24254.3146616541,73598.76,58.06
Casco Histórico de Barajas,133.53,8.05515734862448,29450.04216593,82966.28,69.7
Timón,23.06,15.9838405128881,40271.041996997,101313.54,87.55
Corralejos,16.04,8.33333333333333,65879.163713693,115899.58,116.75
Casco Histórico de Vallecas,9.23,10.3074552206755,28357.1952380006,55794.28,69.14
Santa Eugenia,116.79,7.26912274905006,36426.5820036597,57584.02,90.96
Ensanche de Vallecas,68.78,21.4962121212121,32391.8886208301,70762.74,83.27
